Node,easting,northing,Latitude,Longitude
1,657648.1916,4772411.765,43.08803611,-79.06312222
2,658181.3182,4773146.653,43.09453889,-79.05636667
3,658547.2384,4771961.593,43.08379722,-79.05221111
4,658493.7054,4772493.698,43.08859722,-79.05271667
5,658663.0539,4771621.682,43.08071389,-79.05088611
6,659193.8127,4772553.515,43.08898889,-79.04410278
7,659521.8106,4771886.459,43.08291667,-79.04026667
8,661073.5108,4772465.52,43.0878,-79.02104722
9,661288.451,4771861.308,43.08231667,-79.01858333
10,658817.8655,4773193.849,43.09483056,-79.04853611
11,660803.8659,4773290.372,43.09528056,-79.02411944
12,661886.0682,4773153.92,43.09382222,-79.01086944
13,663563.3233,4772731.856,43.08966389,-78.99039722
14,663560.2064,4771020.868,43.07426667,-78.99093889
15,663541.002,4771784.654,43.08114444,-78.99095
16,667570.1971,4773913.138,43.09941944,-78.94084167
17,667712.8945,4770793.501,43.07131389,-78.94003056
18,663640.8462,4768750.437,43.05381667,-78.99061667
19,661595.8339,4765059.942,43.02104167,-79.01678333
20,666502.6952,4759273.819,42.96791111,-78.958325
21,667501.2166,4763145.978,43.00253889,-78.94492778
22,665986.7564,4765255.837,43.02185833,-78.96286944
23,665566.3573,4769361.685,43.0589,-78.96680556
24,669533.8443,4768763.251,43.05263889,-78.91829722
25,671356.2535,4765434.248,43.02227222,-78.89695833
26,673085.9293,4765469.778,43.0222,-78.87573333
27,668545.8133,4762438.534,42.99594167,-78.93233333
28,672377.3377,4766831.989,43.03461944,-78.88400278
29,671779.5737,4772617.356,43.08681667,-78.88955
30,676118.0917,4769620.967,43.05885833,-78.83723333
31,677483.1632,4763579.376,43.004175,-78.82240556
32,674991.3717,4763052.179,43.00000833,-78.85312222
33,673279.6445,4762506.099,42.99548611,-78.87427778
34,669961.0313,4761497.504,42.98715833,-78.91526944
35,672712.371,4765275.743,43.02053889,-78.880375
36,673986.6442,4767321.893,43.03866111,-78.86410833
37,669768.9237,4758531.665,42.96051111,-78.918525
38,671477.4165,4754957.788,42.92796667,-78.89868611
39,672417.1431,4760864.073,42.98090556,-78.88535833
40,673479.0379,4760878.231,42.98079167,-78.87233889
41,677501.1176,4760972.642,42.98071389,-78.82301389
42,680740.3112,4760804.841,42.97844167,-78.78336944
43,672162.0319,4758379.915,42.95860833,-78.88925
44,673763.4112,4758431.436,42.95870833,-78.86961389
45,678299.1417,4758620.771,42.95936389,-78.81398333
46,680732.7793,4759113.908,42.96322778,-78.78400833
47,682136.5431,4758724.448,42.95938889,-78.76693611
48,682257.968,4755724.954,42.93236944,-78.766425
49,680810.0677,4755786.659,42.93326944,-78.78413611
50,678403.8928,4755656.988,42.93266944,-78.81364444
51,675959.2514,4754461.296,42.92247778,-78.84395833
52,675357.7025,4755062.027,42.92802222,-78.85113611
53,674125.6348,4755701.717,42.93406111,-78.866025
54,673228.8157,4749666.651,42.87995556,-78.87887222
55,674493.5035,4751257.148,42.89398056,-78.86290278
56,673268.508,4750406.306,42.88660278,-78.87815833
57,673810.0847,4751375.641,42.89520278,-78.87123056
58,673491.9499,4751436.433,42.89582222,-78.87510556
59,674092.1963,4750174.936,42.88433333,-78.86815
60,678478.137,4751700.92,42.89705278,-78.81399444
61,680912.0005,4752064.331,42.89975,-78.78408889
62,682294.9238,4752445.094,42.90284722,-78.76703889
63,680900.5056,4749492.002,42.87660556,-78.78505833
64,677647.905,4748092.491,42.864775,-78.82529722
65,681974.0338,4739827.101,42.78938056,-78.77504722
66,678571.39,4739813.763,42.79006111,-78.816625
67,676080.5656,4739753.407,42.79009444,-78.84707778
68,677984.1857,4739706.903,42.78923611,-78.82383333
69,674636.022,4737122.913,42.76675278,-78.86554167
70,676262.9131,4734258.741,42.74060556,-78.84656389
71,687789.259,4760980.892,42.97831944,-78.69692778
72,687836.2557,4759531.216,42.96526389,-78.69683889
73,687876.0116,4757824.185,42.94989444,-78.696925
74,687911.5755,4756501.393,42.93798333,-78.69693333
75,688023.967,4752497.067,42.901925,-78.6969
76,688175.593,4746923.123,42.85173333,-78.69691111
77,688283.5097,4742702.018,42.813725,-78.69700278
78,688437.5295,4737705.497,42.76872778,-78.69678889
79,678022.263,4736874.217,42.76373611,-78.82426111
80,675590.1932,4735258.367,42.74975556,-78.85446667
81,672892.0677,4766991.92,43.03594167,-78.87763889
82,682859.3713,4737013.039,42.76384722,-78.76514167
83,677736.8265,4731533.565,42.71574167,-78.829425
84,681362.7706,4729313.86,42.69491944,-78.78588611
85,671611.9009,4751682.138,42.89845833,-78.89804167
86,683460.4775,4757952.499,42.952125,-78.75096944
87,680355.3114,4745216.528,42.83826111,-78.7931
88,680541.6724,4746538.281,42.85011111,-78.79039722
89,688226.3623,4744975.324,42.83419444,-78.69694167
90,672577.9781,4762413.674,42.99481389,-78.88290833
