Node,easting,northing
1,657648.1916,4772411.765
2,658181.3182,4773146.653
3,658547.2384,4771961.593
4,658493.7054,4772493.698
5,658663.0539,4771621.682
6,659193.8127,4772553.515
7,659521.8106,4771886.459
8,661073.5108,4772465.52
9,661288.451,4771861.308
10,658817.8655,4773193.849
11,660803.8659,4773290.372
12,661886.0682,4773153.92
13,663563.3233,4772731.856
14,663560.2064,4771020.868
15,663541.002,4771784.654
16,667570.1971,4773913.138
17,667712.8945,4770793.501
18,663640.8462,4768750.437
19,661595.8339,4765059.942
20,666502.6952,4759273.819
21,667501.2166,4763145.978
22,665986.7564,4765255.837
23,665566.3573,4769361.685
24,669533.8443,4768763.251
25,671356.2535,4765434.248
26,673085.9293,4765469.778
27,668545.8133,4762438.534
28,672377.3377,4766831.989
29,671779.5737,4772617.356
30,676118.0917,4769620.967
31,677483.1632,4763579.376
32,674991.3717,4763052.179
33,673279.6445,4762506.099
34,669961.0313,4761497.504
35,672712.371,4765275.743
36,673986.6442,4767321.893
37,669768.9237,4758531.665
38,671477.4165,4754957.788
39,672417.1431,4760864.073
40,673479.0379,4760878.231
41,677501.1176,4760972.642
42,680740.3112,4760804.841
43,672162.0319,4758379.915
44,673763.4112,4758431.436
45,678299.1417,4758620.771
46,680732.7793,4759113.908
47,682136.5431,4758724.448
48,682257.968,4755724.954
49,680810.0677,4755786.659
50,678403.8928,4755656.988
51,675959.2514,4754461.296
52,675357.7025,4755062.027
53,674125.6348,4755701.717
54,673228.8157,4749666.651
55,674493.5035,4751257.148
56,673268.508,4750406.306
57,673810.0847,4751375.641
58,673491.9499,4751436.433
59,674092.1963,4750174.936
60,678478.137,4751700.92
61,680912.0005,4752064.331
62,682294.9238,4752445.094
63,680900.5056,4749492.002
64,677647.905,4748092.491
65,681974.0338,4739827.101
66,678571.39,4739813.763
67,676080.5656,4739753.407
68,677984.1857,4739706.903
69,674636.022,4737122.913
70,676262.9131,4734258.741
71,687789.259,4760980.892
72,687836.2557,4759531.216
73,687876.0116,4757824.185
74,687911.5755,4756501.393
75,688023.967,4752497.067
76,688175.593,4746923.123
77,688283.5097,4742702.018
78,688437.5295,4737705.497
79,678022.263,4736874.217
80,675590.1932,4735258.367
81,672892.0677,4766991.92
82,682859.3713,4737013.039
83,677736.8265,4731533.565
84,681362.7706,4729313.86
85,671611.9009,4751682.138
86,683460.4775,4757952.499
87,680355.3114,4745216.528
88,680541.6724,4746538.281
89,688226.3623,4744975.324
90,672577.9781,4762413.674
