start_node,end_node,arc_length
1,2,0.59
1,3,0.75
1,4,0.53
10,11,1.24
10,6,0.47
11,12,0.7
11,8,0.5
12,13,1.1
12,8,0.7
13,15,0.6
13,16,2.7
14,17,3.1
14,18,1.2
15,14,0.5
16,17,2
16,29,2.8
17,28,4.1
18,19,2.9
18,22,3.1
18,23,1.9
19,20,5.66
19,22,2.78
2,10,0.4
20,21,2.67
21,27,0.8
22,21,1.7
23,22,2.6
23,24,2.7
24,25,2.6
25,21,3.8
25,22,3.3
26,33,1.9
27,34,1.1
27,37,2.7
28,26,1
28,35,1
29,30,3.3
29,81,3.6
3,5,0.25
3,7,0.62
30,31,4.1
30,36,1.9
31,32,1.6
31,41,1.6
31,42,2.7
32,33,1.2
33,90,0.4
90,34,1.8
33,40,1
34,37,2.1
34,39,2.1
35,27,3.3
35,90,1.8
90,39,1
36,32,2.9
36,81,0.7
37,38,2.6
38,53,2.1
38,85,2.1
39,40,0.6
39,43,1.6
4,3,0.4
4,6,0.41
40,41,2.5
40,44,1.5
41,42,2
41,45,2.1
42,46,1.1
42,47,1.6
42,71,4.4
43,38,2.8
43,44,1
44,45,2.9
44,53,1.7
45,46,1.6
45,50,1.8
45,52,2.9
46,47,0.9
46,49,2.1
47,48,2.2
47,72,3.6
48,49,0.9
48,62,2
49,50,1.5
49,61,2.2
5,14,3.3
50,51,1.7
50,60,2.5
51,55,2.4
52,51,0.6
52,57,2.5
53,52,0.9
53,58,2.8
54,64,3
54,67,6.6
55,57,0.4
55,59,0.8
56,54,0.6
57,58,0.2
58,56,0.6
59,56,0.6
6,8,1.9
60,59,3.1
60,61,1.5
60,64,2.4
61,62,0.9
61,76,7
62,63,2.6
62,75,3.6
63,64,2.4
63,88,2
64,68,5.4
65,66,2.1
65,82,2.3
66,68,0.4
66,70,3.9
67,69,1.9
68,67,1.7
68,79,1.8
69,80,1.3
7,9,1.1
70,83,2.3
71,72,0.9
72,73,1.1
73,74,0.8
73,86,2.7
74,48,3.8
74,75,2.5
75,76,2.9
76,89,1.8
77,65,4.6
77,78,3.1
78,82,3.6
79,80,1.8
79,83,3.4
8,9,0.4
80,70,0.8
81,28,0.3
82,84,5.2
83,84,2.8
85,54,1.6
86,48,1.9
87,65,3.8
87,66,3.9
88,87,0.7
89,77,1.4
89,88,4.9
9,14,1.5
